Округ,Регион,Город,Предприятие,Кол-во зачисленных
Дальневосточный федеральный округ,Хабаровский край,Хабаровск,ОАО «Дальневосточный завод энергетического машиностроения» (Дальэнергомаш),
Дальневосточный федеральный округ,Хабаровский край,Хабаровск,"АО ""Хабаровский судостроительный завод"" (АО ""ХСЗ"")",
Дальневосточный федеральный округ,Хабаровский край,Комсомольска-на-Амуре,Амурский судостроительный завод,
Дальневосточный федеральный округ,Амурская область,Благовещенск,ГК «Амурский металлист»,
Дальневосточный федеральный округ,Амурская область,Благовещенск,АО «Судостроительный завод имени Октябрьской революции»,
Дальневосточный федеральный округ,Амурская область,Благовещенск,ООО Амурский завод металлических конструкций,
Дальневосточный федеральный округ,Амурская область,Благовещенск,ООО Благовещенский ремонтно-механический завод,
Дальневосточный федеральный округ,Амурская область,Благовещенск,ОАО Благовещенский электроаппаратный завод,
Дальневосточный федеральный округ,Амурская область,Шимановск,"АО Производственное объединение ""Шимановский машиностроительный завод""",
Дальневосточный федеральный округ,Республика Саха (Якутия),Якутск,ООО «Эльгауголь»,
Дальневосточный федеральный округ,Республика Саха (Якутия),Якутск,АО «Эльконский ГМК»,
Дальневосточный федеральный округ,Республика Саха (Якутия),Якутск,ОАО «АЛРОСА»,
Дальневосточный федеральный округ,Магаданская область,Магадан,"ЗАО ""Магаданский авиаремонтный завод № 73 Гражданской авиации""",
Дальневосточный федеральный округ,Магаданская область,Магадан,"АО «Магаданский механический завод» (""ММЗ"")",
Дальневосточный федеральный округ,Забайкальский край,Чита,"ООО «Читинский станкостроительный завод» (""ЧСЗ"")",
Дальневосточный федеральный округ,Забайкальский край,Чита,ООО «Черновский РМЗ»,
Дальневосточный федеральный округ,Забайкальский край,Чита,ООО «Машзавод»,
Дальневосточный федеральный округ,Забайкальский край,Чита,"АО ""810 авиационный ремонтный завод"" (АРЗ 810)",
Сибирский федеральный округ,Красноярский край,Норильск,АО «Норильский горно-металлургический комбинат имени А. П. Завенягина»,
Центральный федеральный округ,Смоленская область,Смоленск,АО «Смоленский авиационный завод»,
Центральный федеральный округ,Смоленская область,Смоленск,"ФГУП ""СПО ""Аналитприбор""",
Центральный федеральный округ,Смоленская область,Смоленск,ОАО «Смоленский завод радиодеталей»,
Приволжский федеральный округ ,Республика Татарстан,Зеленодольск ,"АО ""Зеленодольский завод имени A.M. Горького""",
Приволжский федеральный округ ,Республика Татарстан,Зеленодольск ,"АО ""Зеленодольское проектно-конструкторское бюро""",
Приволжский федеральный округ ,Республика Татарстан,Казань,"АО ""ЗАВОД ЭЛЕКОН""",
Приволжский федеральный округ ,Республика Татарстан,Казань,"ПАО ""Казанский Электротехнический Завод""",
Приволжский федеральный округ ,Республика Татарстан,Казань,"АО ""РАДИОПРИБОР""",
Приволжский федеральный округ ,Республика Татарстан,Казань,"ОАО Казанский завод ""Электроприбор""",
Северо-Западный федеральный округ,Калининградская область,Калининград,"Судоремонтное предприятие ""ПРЕГОЛЬ""",
Северо-Западный федеральный округ,Калининградская область,Калининград,"Общество с Ограниченной Ответственностью завод ""Калининградгазавтоматика""",
Северо-Западный федеральный округ,Калининградская область,Калининград,"Акционерное Общество ""Автотор""",
Северо-Западный федеральный округ,Калининградская область,Калининград,"Открытое Акционерное Общество ""Калининградский Вагоностроительный Завод""",
Южный федеральный округ,Астраханская область,Астрахань,Астраханское Судостроительное Производственное Объединение (АСПО),
Южный федеральный округ,Астраханская область,Астрахань,"Судостроительно-судоремонтный завод имени 
Ленина (ССЗ имени Ленина)",
Южный федеральный округ,Астраханская область,Астрахань,Астраханский тепловозоремонтный завод,
Южный федеральный округ,Астраханская область,Астрахань,Первомайский судоремонтный завод (ПСРЗ),
Южный федеральный округ,Астраханская область,Астрахань,"ОАО ""Астраханское стекловолокно""",
Южный федеральный округ,Астраханская область,Астрахань,Астраханский завод холодильного оборудования,
Южный федеральный округ,Астраханская область,Астрахань,Астраханский станкостроительный завод,
Южный федеральный округ,Астраханская область,Астрахань,Астраханский судоремонтный завод (АСРЗ),
Центральный федеральный округ,Ярославская область,рп. Бурмакино,"АО ""6 Арсенал""",
Центральный федеральный округ,Ярославская область,г. Рыбинск,"ПАО ""ОДК-САТУРН""",
Центральный федеральный округ,Ярославская область,г. Тутаев,ПАО «Тутаевский моторный завод»,
Центральный федеральный округ,Ярославская область,г. Рыбинск,АО «Судостроительный завод «Вымпел»,
Центральный федеральный округ,Ярославская область,Ярославль,ПАО «Ярославский судостроительный завод»,
Центральный федеральный округ,Ярославская область,Ярославль,"ПАО ""Автодизель"" (Ярославский моторный завод)",
